0.467;0.675;N;1.142
1.142;0.797;N;1.939
1.939;0.811;N;2.750
2.750;0.878;N;3.628
3.628;0.856;N;4.484
4.484;0.825;N;5.309
5.309;0.811;N;6.120
6.120;0.797;N;6.917
6.917;0.811;N;7.728
7.728;0.806;N;8.534
8.534;0.839;N;9.373
9.373;0.883;N;10.256
10.256;0.853;N;11.109
11.109;0.931;N;12.039
12.039;0.739;N;12.778
12.778;0.742;N;13.520
13.520;0.969;N;14.490
14.490;0.697;N;15.187
15.187;0.839;N;16.026
16.026;0.878;N;16.904
16.904;0.825;N;17.729
17.729;0.842;N;18.570
18.570;0.794;N;19.365
19.365;0.883;N;20.248
20.248;0.725;N;20.973
20.973;0.853;N;21.826
21.826;0.992;N;22.818
22.818;0.722;N;23.540
23.540;0.925;N;24.465
24.465;0.708;N;25.173
25.173;0.808;N;25.982
25.982;0.775;N;26.757
26.757;0.989;N;27.746
27.746;0.844;N;28.590
28.590;0.700;N;29.290
29.290;0.839;N;30.129
30.129;0.936;N;31.065
31.065;0.697;N;31.763
31.763;0.769;N;32.532
32.532;0.856;N;33.388
33.388;0.869;N;34.257
34.257;0.839;N;35.096
35.096;0.814;N;35.910
35.910;0.825;N;36.735
36.735;0.797;N;37.532
37.532;0.797;N;38.330
38.330;0.964;N;39.293
39.293;0.733;N;40.027
40.027;0.861;N;40.888
40.888;0.822;N;41.710
41.710;0.797;N;42.508
42.508;0.972;N;43.480
43.480;0.664;N;44.144
44.144;0.814;N;44.958
44.958;0.858;N;45.816
45.816;0.864;N;46.680
46.680;0.900;N;47.580
47.580;0.739;N;48.319
48.319;0.797;N;49.116
49.116;0.833;N;49.950
49.950;0.817;N;50.766
50.766;0.831;N;51.597
51.597;0.983;N;52.580
52.580;0.717;N;53.297
53.297;0.947;N;54.244
54.244;0.667;N;54.911
54.911;0.803;N;55.714
55.714;0.986;N;56.700
56.700;0.706;N;57.405
57.405;0.836;N;58.242
58.242;0.972;N;59.214
59.214;0.700;N;59.914
59.214;0.700;N;59.914
