0.383;0.717;N;1.100
1.100;0.731;N;1.831
1.831;0.686;N;2.517
2.517;0.714;N;3.231
3.231;0.678;N;3.909
3.909;0.708;N;4.617
4.617;0.678;N;5.295
5.295;0.708;N;6.003
6.003;0.681;N;6.684
6.684;0.661;N;7.345
7.345;0.694;N;8.039
8.039;0.689;N;8.728
8.728;0.694;N;9.423
9.423;0.681;N;10.103
10.103;0.689;N;10.792
10.792;0.692;N;11.484
11.484;0.692;N;12.176
12.176;0.711;N;12.887
12.887;0.686;N;13.573
13.573;0.689;N;14.262
14.262;0.672;N;14.934
14.934;0.708;N;15.642
15.642;0.692;N;16.334
16.334;0.675;N;17.009
17.009;0.700;N;17.709
17.709;0.692;N;18.401
18.401;0.700;N;19.101
19.101;0.708;N;19.809
19.809;0.725;N;20.534
20.534;0.708;N;21.243
21.243;0.706;N;21.948
21.948;0.733;N;22.682
22.682;0.706;N;23.387
23.387;0.703;N;24.090
24.090;0.694;N;24.784
24.784;0.722;N;25.507
25.507;0.711;N;26.218
26.218;0.706;N;26.923
26.923;0.731;N;27.654
27.654;0.706;N;28.360
28.360;0.697;N;29.057
29.057;0.714;N;29.771
29.771;0.719;N;30.490
30.490;0.717;N;31.207
31.207;0.681;N;31.888
31.888;0.742;N;32.629
32.629;0.683;N;33.313
33.313;0.708;N;34.021
34.021;0.717;N;34.738
34.738;0.708;N;35.446
35.446;0.703;N;36.149
36.149;0.694;N;36.843
36.843;0.731;N;37.574
37.574;0.697;N;38.271
38.271;0.694;N;38.966
38.966;0.681;N;39.646
39.646;0.689;N;40.335
40.335;0.697;N;41.032
41.032;0.678;N;41.710
41.710;0.722;N;42.433
42.433;0.689;N;43.121
43.121;0.694;N;43.816
43.816;0.708;N;44.524
44.524;0.711;N;45.235
45.235;0.717;N;45.952
45.952;0.697;N;46.649
46.649;0.708;N;47.358
47.358;0.689;N;48.047
48.047;0.703;N;48.749
48.749;0.708;N;49.458
49.458;0.719;N;50.177
50.177;0.686;N;50.863
50.863;0.697;N;51.561
51.561;0.706;N;52.266
52.266;0.694;N;52.961
52.961;0.706;N;53.666
53.666;0.686;N;54.353
54.353;0.708;N;55.061
55.061;0.694;N;55.755
55.755;0.714;N;56.469
56.469;0.725;N;57.194
57.194;0.717;N;57.911
57.911;0.708;N;58.619
58.619;0.714;N;59.333
58.619;0.714;N;59.333
