0.900;0.553;A;1.453
1.453;1.303;A;2.756
2.756;0.939;N;3.695
3.695;0.933;N;4.628
4.628;0.889;N;5.517
5.517;0.897;N;6.414
6.414;0.553;A;6.967
6.967;1.286;A;8.253
8.253;0.944;N;9.198
9.198;0.881;N;10.078
10.078;0.861;N;10.939
10.939;0.928;N;11.867
11.867;0.544;A;12.412
12.412;1.258;A;13.670
13.670;0.925;N;14.595
14.595;0.869;N;15.465
15.465;0.917;N;16.381
16.381;0.911;N;17.292
17.292;0.864;N;18.156
18.156;0.953;N;19.109
19.109;0.933;N;20.043
20.043;0.869;N;20.912
20.912;0.558;A;21.470
21.470;1.289;A;22.759
22.759;0.569;A;23.329
23.329;1.325;A;24.654
24.654;0.544;A;25.198
25.198;1.320;A;26.518
26.518;0.583;A;27.101
27.101;1.258;A;28.360
28.360;0.617;N;28.976
28.976;1.253;A;30.229
30.229;0.508;A;30.738
30.738;1.375;A;32.113
32.113;0.883;N;32.996
32.996;0.897;N;33.893
33.893;0.878;N;34.771
34.771;0.839;N;35.610
35.610;0.556;A;36.166
36.166;1.275;A;37.441
37.441;0.553;A;37.993
37.993;1.275;A;39.268
39.268;0.583;A;39.852
39.852;1.270;A;41.121
41.121;0.547;A;41.669
41.669;1.295;A;42.963
42.963;0.881;N;43.844
43.844;0.867;N;44.710
44.710;0.903;N;45.613
45.613;0.875;N;46.488
46.488;0.536;A;47.024
47.024;1.328;A;48.352
48.352;0.919;N;49.272
49.272;0.539;A;49.811
49.811;1.311;A;51.122
51.122;0.939;N;52.061
52.061;0.558;A;52.619
52.619;1.322;A;53.941
53.941;0.611;N;54.553
54.553;1.336;A;55.889
55.889;0.925;N;56.814
56.814;0.544;A;57.358
57.358;1.303;A;58.661
58.661;0.553;A;59.214
58.661;0.553;A;59.214
